Peringkat_Sekolah,PPD,Kod_Sekolah,Nama_Sekolah,Alamat,Poskod,Bandar,Negeri,Telefon,Fax
Menengah,PPD KINTA UTARA,AEA2049,SMK KG PASIR PUTEH,JALAN PENGKALAN BARAT 18,31650,IPOH,PERAK,53225150,53221615
Menengah,PPD KINTA UTARA,AEA2050,SMK SERI AMPANG,JALAN GUNUNG RAPAT,31350,IPOH,PERAK,53130929,53130929
Menengah,PPD KINTA UTARA,AEA2051,SMK JALAN TASEK,"JALAN SULTAN AZLAN SHAH (U), TAMAN TASEK INDRA",31400,IPOH,PERAK,55497606,55450058
Menengah,PPD KINTA UTARA,AEA2052,SMK SIMPANG PULAI,TAMAN PULAI JAYA,31300,KG. KEPAYANG,PERAK,53575627,53576516
Menengah,PPD KINTA UTARA,AEA2053,SMK LAHAT,"PERSIARAN LAHAT BARU 6,  BANDAR LAHAT BARU",31500,LAHAT,PERAK,53228995,53235041
Menengah,PPD KINTA UTARA,AEA2054,SMK TASEK DAMAI,JALAN TAWAS BARU UTARA,30010,IPOH,PERAK,52917200,52921275
Menengah,PPD KINTA UTARA,AEA2055,SMK TANJONG RAMBUTAN,JALAN CHEMOR,31250,TANJONG RAMBUTAN,PERAK,55336770,55331722
Menengah,PPD KINTA UTARA,AEA2056,SMK JELAPANG JAYA,JELAPANG,30020,IPOH,PERAK,55282149,55282148
Menengah,PPD KINTA UTARA,AEA2057,SMK PENGKALAN,TAMAN PINJI MEWAH,31500,LAHAT,PERAK,53288201,53288202
Menengah,PPD KINTA UTARA,AEA2058,SMK BERCHAM,HALA TASIK TIMUR 32,31400,IPOH,PERAK,55461962,55462177
Menengah,PPD KINTA UTARA,AEA2059,SMK PUSING,LEBUHRAYA EKSPRES IPOH LUMUT,31000,BATU GAJAH,PERAK,52883955,52884801
Menengah,PPD KINTA UTARA,AEA2060,SMK BUNTONG,"PERSIARAN RISHAH (S) 1/1B, DESA RISHAH",30100,IPOH,PERAK,52823242,52828242
Menengah,PPD KINTA UTARA,AEA2061,SMK WIRA JAYA,HALAMAN AMPANG MEWAH,31350,IPOH,PERAK,53114339,53114270
Menengah,PPD KINTA UTARA,AEA2062,SMK JATI,TAMAN JATI,30020,IPOH,PERAK,55265082,55265062
Menengah,PPD KINTA UTARA,AEA2063,SMK PINJI,JALAN PERSIARAN BUNGA RAYA,31650,IPOH,PERAK,53221523,53221523
Menengah,PPD KINTA SELATAN,AEA2064,SMK SENTOSA,TAMAN BANDAR BARU,31900,KAMPAR,PERAK,54671220,54671221
Menengah,PPD KINTA UTARA,AEA2065,SMK RAPAT SETIA,"JALAN TENAGA, RAPAT SETIA",31350,IPOH,PERAK,53113385,53127284
Menengah,PPD KINTA UTARA,AEA2066,SMK TAMBUN,"JALAN TANJUNG RAMBUTAN, TAMBUN",31400,IPOH,PERAK,55424841,55424842
Menengah,PPD KINTA UTARA,AEA2067,SMK BANDAR BARU PUTRA,"PERSIARAN PUTRA 9, BANDAR BARU PUTRA",31400,IPOH,PERAK,55336437,55336470
Menengah,PPD KINTA UTARA,AEA2302,SMK ULU KINTA,JALAN PASUKAN POLIS HUTAN,31150,ULU KINTA,PERAK,55331363,55330445
Menengah,PPD KINTA SELATAN,AEA2303,SMK SERI TEJA,BT 1  JLN KOTA BHARU,31600,GOPENG,PERAK,53591264,53595845
Menengah,PPD KRIAN,AEA3038,SMK PANGLIMA BUKIT GANTANG,JALAN SEKOLAH,34200,PARIT BUNTAR,PERAK,57161161,57175322
Menengah,PPD KRIAN,AEA3039,SMK SRI PERAK,JALAN ASUHAN,34200,PARIT BUNTAR,PERAK,57161136,57176989
Menengah,PPD KRIAN,AEA3040,SMK ALANG ISKANDAR,JALAN KURAU,34300,BAGAN SERAI,PERAK,57210346,57216970
Menengah,PPD KRIAN,AEA3041,SMK ALOR PONGSU,ALOR PONGSU,34300,BAGAN SERAI,PERAK,57216957,57217539
Menengah,PPD KRIAN,AEA3086,SMK RAJA LOPE NOR RASHID,JALAN BAWAH,34250,TANJONG PIANDANG,PERAK,57256269,57250268
Menengah,PPD KRIAN,AEA3087,SMK KUALA KURAU,JALAN PANTAI KUALA KURAU,34350,KUALA KURAU,PERAK,57277651,57279636
Menengah,PPD KRIAN,AEA3088,SMK ABU BAKAR AL-BAQIR,SUNGAI GEDONG,34300,BAGAN SERAI,PERAK,57217518,57218458
Menengah,PPD KRIAN,AEA3089,SMK GUNUNG SEMANGGOL,TEBUK PANCHUR,34400,SIMPANG EMPAT SEMANGGOL,PERAK,58921110,58921111
Menengah,PPD KRIAN,AEA3090,SMK PEKAN BARU,"JALAN MERBOK, TAMAN PEKAN BARU",34200,PARIT BUNTAR,PERAK,57164277,57165260
Menengah,PPD KRIAN,AEA3091,SMK SELINSING,SIMPANG EMPAT,34400,SEMANGGOL,PERAK,58901971,58901769
Menengah,PPD KUALA KANGSAR,AEA4082,SMK BUKIT MERCHU,JALAN SULTAN ISKANDAR SHAH,33000,KUALA KANGSAR,PERAK,57731140,57731144
Menengah,PPD KUALA KANGSAR,AEA4083,SMK TEMENGGONG,KATI,33020,KUALA KANGSAR,PERAK,57523210,57521946
Menengah,PPD KUALA KANGSAR,AEA4085,SEKOLAH MENENGAH TOH MUDA ABDUL AZIZ SUNGAI SIPUT (U),JALAN SENTOSA,31100,SUNGAI SIPUT (U),PERAK,55951370,55951371
Menengah,PPD KUALA KANGSAR,AEA4086,SMK SIMPANG BELURU,ENGGOR,33600,KUALA KANGSAR,PERAK,57731131,57731132
Menengah,PPD KUALA KANGSAR,AEA4087,SMK MUHIBBAH,SIMPANG JALONG,31100,SUNGAI SIPUT (U),PERAK,55951350,55951351
Menengah,PPD KUALA KANGSAR,AEA4131,SMK RLKT LASAH,FELDA LASAH,31120,SUNGAI SIPUT (U),PERAK,55918182,55911037
Menengah,PPD KUALA KANGSAR,AEA4141,SMK SAYONG,JALAN PARIT - SAYONG,33040,KUALA KANGSAR,PERAK,57731121,57731120
Menengah,PPD HILIR PERAK,AEA5072,SMK SUNGAI MANIK,SUNGAI MANIK,36000,TELUK INTAN,PERAK,56221825,56221825
Menengah,PPD HILIR PERAK,AEA5073,SMK SERI PERAK,JALAN CHANGKAT JONG,36000,TELUK INTAN,PERAK,56221707,56227573
Menengah,PPD HILIR PERAK,AEA5074,SMK SULTAN ABDULLAH,BATU 11 1/2 JALAN CHENDERONG BALAI,36600,CHENDERONG BALAI,PERAK,56511835,56511260
Menengah,PPD HILIR PERAK,AEA5075,SMK ULU BERNAM,"BAHAGIAN SATU, LADANG ULU BERNAM",36500,ULU BERNAM,PERAK,56366107,56366096
Menengah,PPD HILIR PERAK,AEA5076,SMK HUTAN MELINTANG,SIMPANG EMPAT,36400,HUTAN MELINTANG,PERAK,56411378,56415516
Menengah,PPD HILIR PERAK,AEA5077,SM (SAINS) TELOK INTAN,BATU 8 JALAN HUTAN MELINTANG,36000,TELUK INTAN,PERAK,56411711,56411155
Menengah,PPD HILIR PERAK,AEA5078,SMK ABDUL RAHMAN TALIB,JALAN CHANGKAT JONG,36000,TELUK INTAN,PERAK,56216070,56232826
Menengah,PPD HILIR PERAK,AEA5079,SMK SERI SETIA,JALAN PADANG TEMBAK,36000,TELUK INTAN,PERAK,56225628,56236148
Menengah,PPD HILIR PERAK,AEA5080,SMK SERI KANDI,JALAN PADANG TEMBAK,36000,TELUK INTAN,PERAK,56221667,56237521
Menengah,PPD HILIR PERAK,AEA5081,SMK SERI PERKASA,JALAN SABAK BERNAM,36400,HUTAN MELINTANG,PERAK,56416680,56418109
Menengah,PPD HILIR PERAK,AEA5082,SMK RUNGKUP,JALAN RUNGKUP,36200,SELEKOH,PERAK,56467021,56468701
Menengah,PPD HILIR PERAK,AEA5083,SM SAINS BAGAN DATOH,JALAN BAGAN DATOH,36100,BAGAN DATOH,PERAK,56466331,56466332
Menengah,PPD LARUT/MATANG/SELAMA,AEA6048,SMK DOKTOR BURHANUDDIN,"NO 58, JALAN RAJA SULONG, KG BOYAN",34000,TAIPING,PERAK,58072213,58072842
Menengah,PPD LARUT/MATANG/SELAMA,AEA6049,SMK SUNGAI BAYOR,SIMPANG TIGA,34140,RANTAU PANJANG,PERAK,58394580,58394580
Menengah,PPD LARUT/MATANG/SELAMA,AEA6050,SM SAINS RAJA TUN AZLAN SHAH,PETI SURAT 79,34000,TAIPING,PERAK,58083020,58062576
Menengah,PPD LARUT/MATANG/SELAMA,AEA6051,SMK SIMPANG,JALAN MATANG,34700,SIMPANG,PERAK,58471144,58483615
Menengah,PPD LARUT/MATANG/SELAMA,AEA6052,SMK KAMUNTING,JLN KG EXPO,34600,KAMUNTING,PERAK,58913723,58913741
Menengah,PPD LARUT/MATANG/SELAMA,AEA6053,SMK DATO' WAN AHMAD RASDI,JALAN TRONG,34850,CHANGKAT JERING,PERAK,58552661,58554429
Menengah,PPD LARUT/MATANG/SELAMA,AEA6054,SMK JELAI,"JALAN BESAR, JELAI",34520,BATU KURAU,PERAK,58881627,58881323
Menengah,PPD LARUT/MATANG/SELAMA,AEA6055,SMK TAMAN TASIK,JALAN NEPTUNE,34000,TAIPING,PERAK,58085181,58053673
Menengah,PPD LARUT/MATANG/SELAMA,AEA6056,SMK BUKIT JANA,JALAN BATU 4 1/2,34600,KAMUNTING,PERAK,58839230,58837139
Menengah,PPD LARUT/MATANG/SELAMA,AEA6057,SMK KAMPUNG JAMBU,JALAN CONVENT,34000,TAIPING,PERAK,58075350,58075371
Menengah,PPD LARUT/MATANG/SELAMA,AEA6058,SMK PENGKALAN AUR,JALAN AIR KUNING CHANGKAT JERING,34850,TAIPING,PERAK,58554009,58553752
Menengah,PPD LARUT/MATANG/SELAMA,AEA6059,SMK TAMAN PANGLIMA,ASSAM KUMBANG,34000,TAIPING,PERAK,58069786,58078498
Menengah,PPD LARUT/MATANG/SELAMA,AEA6060,SMK KUBU GAJAH,JALAN TAIPING,34130,SELAMA,PERAK,58391913,58391913
Menengah,PPD LARUT/MATANG/SELAMA,AEA6061,SMK MATANG,JALAN MATANG,34750,MATANG,PERAK,58476877,58476355
Menengah,PPD LARUT/MATANG/SELAMA,AEA6062,SMK KLIAN PAUH,JALAN LUMBA KUDA,34000,TAIPING,PERAK,58073970,58060187
Menengah,PPD LARUT/MATANG/SELAMA,AEA6063,SMK TOH JOHAN,TRONG,34800,TRONG,PERAK,58577081,58577040
Menengah,PPD LARUT/MATANG/SELAMA,AEA6158,SMK REDANG PANJANG,IJOK,34510,BATU KURAU,PERAK,58801385,58801385
Menengah,PPD LARUT/MATANG/SELAMA,AEA6159,SEKOLAH MENENGAH KEBANGSAAN KAMPONG PERAK,BATU KURAU,34500,BATU KURAU,PERAK,194361417,
Menengah,PPD HULU PERAK,AEA7001,SMK TAN SRI ABDUL AZIZ,JLN. ALANG ISKANDAR,33400,LENGGONG,PERAK,57691111,57691112
Menengah,PPD HULU PERAK,AEA7002,SMK BERSIA (FELDA),FELDA BERSIA,33320,GERIK,PERAK,57911526,57912452
Menengah,PPD HULU PERAK,AEA7003,SMK SULTAN AZLAN SHAH,KAMPUNG CHANGKAT BERANGAN,33400,LENGGONG,PERAK,57691210,57691212
Menengah,PPD HULU PERAK,AEA7004,SMK DATO SERI WAN MOHAMED,KG PLANG,33310,GERIK,PERAK,57915644,57913380
Menengah,PPD HULU PERAK,AEA7005,SMK KENERING,KG LAWIN,33300,GERIK,PERAK,57911821,57912391
Menengah,PPD HULU PERAK,AEA7006,SMK GERIK,JALAN KUALA KENDERONG,33300,GERIK,PERAK,57912300,57912400
Menengah,PPD HULU PERAK,AEA7007,SMK PENGKALAN HULU,JALAN KOMPLEKS GURU,33100,PENGKALAN HULU,PERAK,44770744,44778900
Menengah,PPD HULU PERAK,AEA7008,SMK BATU 4,JALAN KUALA RUI,33300,GERIK,PERAK,57914201,57911676
Menengah,PPD HULU PERAK,AEA7009,SMK SERI BUDIMAN,JALAN BUKIT NASAH,33300,GERIK,PERAK,57918007,57918006
Menengah,PPD PERAK TENGAH,AEA8001,SMK SULTAN MUHAMMAD SHAH,JALAN PADANG BOLA,32800,PARIT,PERAK,53778236,53778236
Menengah,PPD PERAK TENGAH,AEA8002,SMK SULTAN MUZAFAR SHAH 1,LAMBOR KANAN,32600,BOTA,PERAK,53761377,53762275
Menengah,PPD PERAK TENGAH,AEA8003,SMK SULTAN ABDUL JALIL SHAH,SEBERANG PERAK,36000,TELUK INTAN,PERAK,56553954,56551942
Menengah,PPD PERAK TENGAH,AEA8004,SMK LAYANG-LAYANG KIRI,LAYANG-LAYANG KIRI,32800,PARIT,PERAK,53761125,53761449
Menengah,PPD PERAK TENGAH,AEA8005,SMK CHANGKAT LADA,BANDAR SEBERANG PERAK,36800,KAMPONG GAJAH,PERAK,56551097,56551009
Menengah,PPD PERAK TENGAH,AEA8006,SMK LAMBOR KIRI,KG. LAMBOR KIRI,32900,LAMBOR KANAN,PERAK,53761187,53764080
Menengah,PPD PERAK TENGAH,AEA8007,SMK SUNGAI RANGGAM,KOTA SETIA,36810,KG GAJAH,PERAK,56224350,56225054
Menengah,PPD PERAK TENGAH,AEA8008,SMK SERI ISKANDAR,SERI ISKANDAR,32610,SERI ISKANDAR,PERAK,53712892,53712892
Menengah,PPD PERAK TENGAH,AEA8009,SEKOLAH MENENGAH KEBANGSAAN  SERI LONDANG,GELUNG PEPUYU,32600,BOTA,PERAK,53762041,53761086
Menengah,PPD BATANG PADANG,AEB0035,SMK BUYONG ADIL,JALAN KELAB,35000,TAPAH,PERAK,54011152,54018340
Menengah,PPD BATANG PADANG,AEB0036,SMK SRI TAPAH,JALAN PAHANG,35000,TAPAH,PERAK,54012628,54018236
Menengah,PPD BATANG PADANG,AEB0038,SMK CHOONG HUA,JALAN PASAR,35500,BIDOR,PERAK,54341140,54348617
Menengah,PPD BATANG PADANG,AEB0042,SMK METHODIST,JALAN SLIM,35900,TANJONG MALIM,PERAK,54596244,54585496
Menengah,PPD BATANG PADANG,AEB0043,SMK KATHOLIK,JALAN SLIM LAMA,35900,TANJONG MALIM,PERAK,54596241,54582376
Menengah,PPD MANJUNG,AEB1027,SMK CONVENT,JALAN RAJA OMAR,32000,SITIAWAN,PERAK,56913932,56919585
Menengah,PPD MANJUNG,AEB1031,SMK NAN HWA,JALAN LIN CHEN MEI,32000,SITIAWAN,PERAK,56911077,56929003
Menengah,PPD MANJUNG,AEB1033,SMK DINDINGS,PUNDUT,32200,LUMUT,PERAK,56812119,56835670
Menengah,PPD MANJUNG,AEB1034,SMK AYER TAWAR,JALAN PASAR,32400,AYER TAWAR,PERAK,56722042,56724863
Menengah,PPD MANJUNG,AEB1036,SMK METHODIST,JALAN BESAR AYER TAWAR,32400,AYER TAWAR,PERAK,56722492,56721732
Menengah,PPD KINTA UTARA,AEB2043,SMK ANDERSON,JALAN HOSPITAL,30450,IPOH,PERAK,52494900,52423924
Menengah,PPD KINTA UTARA,AEB2044,SMK ST. MICHAEL,JLN DATO S P SEENIVASAGAM,30000,IPOH,PERAK,52540418,52540487
Menengah,PPD KINTA UTARA,AEB2045,SMK METHODIST (ACS),"NO 111, JALAN LAHAT",30200,IPOH,PERAK,52549336,52414604
Menengah,PPD KINTA UTARA,AEB2046,SMK RAJA PEREMPUAN,JALAN BATU BUNGKAL,30250,IPOH,PERAK,52494830,52420697
Menengah,PPD KINTA UTARA,AEB2047,SMK PEREMPUAN METHODIST,"NO. 2, JALAN RAJA PERMAISURI BAINUN",30250,IPOH,PERAK,52549580,52419641
Menengah,PPD KINTA UTARA,AEB2048,SMK CONVENT,JLN SULTAN IDRIS SHAH,30000,IPOH,PERAK,52494200,52494204
Menengah,PPD KINTA UTARA,AEB2049,SMK TARCISIAN CONVENT,"JALAN ABDUL MANAP, TAMAN LIM",30100,IPOH,PERAK,55277134,55270215
Menengah,PPD KINTA UTARA,AEB2050,SEKOLAH TUANKU ABDUL RAHMAN,JALAN SULTAN AZLAN SHAH,31400,IPOH,PERAK,55457733,55467000
Menengah,PPD KINTA UTARA,AEB2051,SMK PEREMPUAN PERAK,NO.247 JLN  RAJA PERMAISURI BAINUN,30250,IPOH,PERAK,52548116,52548116
Menengah,PPD KINTA UTARA,AEB2052,SMK AVE MARIA CONVENT,JLN CHUNG THYE PHIN,30250,IPOH,PERAK,52545587,52555587
Menengah,PPD KINTA UTARA,AEB2053,SMK SAM TET,NO.5 JALAN GEREJA,30300,IPOH,PERAK,52545457,52430700
Menengah,PPD KINTA UTARA,AEB2054,SMK POI LAM,"NO.13, JLN. PANGLIMA BUKIT GANTANG WAHAB",30000,IPOH,PERAK,52544469,52418622
Menengah,PPD KINTA UTARA,AEB2055,SMK YUK CHOY,NO 6 JLN KUALA KANGSAR,30010,IPOH,PERAK,55061726,55064942
Menengah,PPD KINTA UTARA,AEB2056,SMK SERI INTAN,FAIR PARK,31400,IPOH,PERAK,55450844,55450844
Menengah,PPD KINTA UTARA,AEB2057,SMK SRI PUTERI,JALAN SUNGAI PARI,30200,IPOH,PERAK,52540648,52426736
Menengah,PPD KINTA UTARA,AEB2058,SMK SUNGAI PARI,JALAN SUNGAI PARI,30200,IPOH,PERAK,52542591,52430744
Menengah,PPD KINTA UTARA,AEB2059,SMK SERI PUTERA,"KEPAYANG, FAIR PARK",31400,IPOH,PERAK,55450902,55499509
Menengah,PPD KINTA UTARA,AEB2060,SMK DR MEGAT KHAS,JALAN LABROOY,30100,IPOH,PERAK,55276485,55280427
Menengah,PPD KINTA UTARA,AEB2061,SMK SERI IPOH,LEBUH JANSZ,30200,IPOH,PERAK,52549207,52549207
Menengah,PPD KINTA UTARA,AEB2062,SMK MENGLEMBU,MENGLEMBU,31450,MENGLEMBU,PERAK,52812559,52822513
Menengah,PPD KINTA SELATAN,AEB2063,SMK SULTAN YUSSUF,JALAN ILMU,31000,BATU GAJAH,PERAK,53633203,53669271
Menengah,PPD KINTA SELATAN,AEB2064,SMK ST. BERNADETTE'S CONVENT,JALAN PUSING,31000,BATU GAJAH,PERAK,53661577,53666426
Menengah,PPD KINTA SELATAN,AEB2065,SMK YUK KWAN,9 JALAN KELAB,31000,BATU GAJAH,PERAK,53661451,53666679
Menengah,PPD KINTA SELATAN,AEB2068,SMK PEI YUAN,NO 9 JALAN KUALA DIPANG,31900,KAMPAR,PERAK,54661542,54660907
Menengah,PPD KINTA SELATAN,AEB2069,SMK KAMPAR,NO.1 JLN KUALA DIPANG,31900,KAMPAR,PERAK,54651335,54651335
Menengah,PPD KRIAN,AEB3041,SMK METHODIST,JALAN SEKOLAH,34200,PARIT BUNTAR,PERAK,57161062,57160591
Menengah,PPD KRIAN,AEB3042,SMK KRIAN,JALAN SEKOLAH,34200,PARIT BUNTAR,PERAK,57161158,57162680
Menengah,PPD KRIAN,AEB3043,SMK SRI KURAU,JALAN SIAKAP,34300,BAGAN SERAI,PERAK,57217958,57219018
Menengah,PPD KRIAN,AEB3044,SMK BAGAN SERAI,JALAN MATANG BULUH,34300,BAGAN SERAI,PERAK,57219588,57216939
Menengah,PPD KUALA KANGSAR,AEB4072,SMK RAJA MUDA MUSA,JLN SULTAN ISKANDAR SHAH,33007,KUALA KANGSAR,PERAK,57733112,57733111
Menengah,PPD KUALA KANGSAR,AEB4073,SMK TSUNG WAH,"66-B,JLN DATO SAGOR",33000,KUALA KANGSAR,PERAK,57777644,57764962
Menengah,PPD KUALA KANGSAR,AEB4074,KOLEJ MELAYU KUALA KANGSAR,JALAN TUN ABDUL RAZAK,33000,KUALA KANGSAR,PERAK,57761400,57764500
Menengah,PPD KUALA KANGSAR,AEB4075,SMK METHODIST,JALAN BESAR,31100,SUNGAI SIPUT (U),PERAK,55981462,55973024
Menengah,PPD KUALA KANGSAR,AEB4076,SMK SHING CHUNG,JALAN BESAR SUNGAI SIPUT,31100,SUNGAI SIPUT (U),PERAK,55981353,55972924
Menengah,PPD KUALA KANGSAR,AEB4077,SMK DATUK HJ ABD WAHAB,JALAN KAMPUNG SENTOSA,31100,SUNGAI SIPUT (U),PERAK,55981582,55983662
Menengah,PPD HILIR PERAK,AEB5165,SMK SULTAN ABDUL AZIZ,JALAN PADANG TEMBAK,36007,TELUK INTAN,PERAK,56221159,56215348
Menengah,PPD HILIR PERAK,AEB5166,SMK RAJA MUDA MUSA,PEKAN BARU,36000,TELUK INTAN,PERAK,56221123,56219796
Menengah,PPD HILIR PERAK,AEB5167,SMK ST. ANTHONY,PETI SURAT 128,36008,TELUK INTAN,PERAK,56221914,56221914
Menengah,PPD HILIR PERAK,AEB5168,SMK HORLEY METHODIST,JALAN RAJA MUSA,36000,TELUK INTAN,PERAK,56221215,56217258
Menengah,PPD HILIR PERAK,AEB5169,SMK CONVENT,JALAN SEKOLAH,36007,TELUK INTAN,PERAK,56221936,56212842
Menengah,PPD HILIR PERAK,AEB5170,SMK SAN MIN,"LOT 1146,JALAN MERBOK",36000,TELUK INTAN,PERAK,56221216,56237060
Menengah,PPD LARUT/MATANG/SELAMA,AEB6051,SMK ST. GEORGE,JALAN STESEN,34000,TAIPING,PERAK,58072408,58053115
Menengah,PPD LARUT/MATANG/SELAMA,AEB6052,SMK (P) TREACHER METHODIST,"NO. 5, JLN MUZIUM",34000,TAIPING,PERAK,58074888,58074888
Menengah,PPD LARUT/MATANG/SELAMA,AEB6053,SMK CONVENT,JALAN CONVENT,34000,TAIPING,PERAK,58073650,58070415
Menengah,PPD LARUT/MATANG/SELAMA,AEB6054,SMK HUA LIAN,NO 10 JLN LUMBA KUDA,34008,TAIPING,PERAK,58073472,58066732
Menengah,PPD LARUT/MATANG/SELAMA,AEB6055,SMK SRI KOTA,"JALAN RAJA SULONG, KPG BOYAN",34000,TAIPING,PERAK,58073591,58089915
Menengah,PPD LARUT/MATANG/SELAMA,AEB6056,SMK DARUL RIDWAN,JALAN IZUDDIN SHAH,34007,TAIPING,PERAK,58072727,58086570
Menengah,PPD BATANG PADANG,AEE0037,SMK DATO' PANGLIMA PERANG KIRI,JALAN TAPAH ROAD,35400,TAPAH ROAD,PERAK,54181061,54018630
Menengah,PPD BATANG PADANG,AEE0039,SMK SYEIKH ABDUL GHANI,JALAN SUNGKAI,35500,BIDOR,PERAK,54341357,54348750
Menengah,PPD BATANG PADANG,AEE0040,SMK SUNGKAI,JALAN PEKAN LAMA,35600,SUNGKAI,PERAK,54386609,54386610
Menengah,PPD BATANG PADANG,AEE0041,SMK DATO' ZULKIFLI MUHAMMAD,SLIM RIVER,35800,SLIM RIVER,PERAK,54528275,54527962
Menengah,PPD MANJUNG,AEE1026,SMK METHODIST (ACS),JALAN LIN CHEN MEI,32000,SITIAWAN,PERAK,56911071,56926098
Menengah,PPD MANJUNG,AEE1030,SMK TOK PERDANA,JALAN TOK PERDANA,32000,SITIAWAN,PERAK,56911154,56926151
Menengah,PPD MANJUNG,AEE1032,SMK RAJA SHAHRIMAN,JALAN PARIT,32700,BERUAS,PERAK,56749237,56748726
Menengah,PPD MANJUNG,AEE1036,SMK AMBROSE,JALAN AYER TAWAR,32400,AYER TAWAR,PERAK,56722373,56728549
Menengah,PPD MANJUNG,AEE1037,SMK PANGKOR,JALAN PASIR BOGAK,32300,PANGKOR,PERAK,56851014,56851014
Menengah,PPD MANJUNG,AEE1038,SMK DATO' IDRIS,PENGKALAN BHARU,34900,PANTAI REMIS,PERAK,56771169,56777709
Menengah,PPD KINTA SELATAN,AEE2066,SMK TOH INDERA WANGSA AHMAD,JALAN TANJUNG TUALANG,31007,BATU GAJAH,PERAK,53661440,53669885
